Status: 15.11.2023,,,Substation_1,,Longitude_Substation_1,Latitude_Substation_1,Substation_2,,Longitude_Substation_2,Latitude_Substation_2,,Maximum Current Imax (A),,,,,,,Dynamic line rating (DLR),,Electrical Parameters,,,,
NE_name,EIC_Code,TSO,Full_name,Short_name,,,Full_name,Short_name,,,Voltage_level(kV),Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Fixed,DLRmin(A),DLRmax(A),Resistance_R(Ω),Reactance_X(Ω),Susceptance_B(μS),Length_(km),Comment
Dresden/Süd - Röhrsdorf 591,11TD8L591------S,50HERTZ,Dresden/Süd,D8DRS_1,13.8408,50.9895,Röhrsdorf,D8ROE_1,12.811,50.859,380,,,,,,,2520,,,2.23,22.06,380.604,85.37,
Dresden/Süd - Freiberg/Nord 592,11TD8L592------K,50HERTZ,Dresden/Süd,D8DRS_1,13.8408,50.9895,Freiberg/Nord,D8FRN_1,13.2557,50.9308,380,,,,,,,2520,,,1.17,12.37,212.969,47.77,
Freiberg/Nord - Röhrsdorf 594,11TD8L594------4,50HERTZ,Freiberg/Nord,D8FRN_1,13.2557,50.9308,Röhrsdorf,D8ROE_1,12.811,50.859,380,,,,,,,2520,,,1.05,9.69,167.573,37.59,
Putlitz/Süd - Perleberg - Putlitz 596,11TD8L596------P,50HERTZ,Putlitz/Süd,D8PZS_1,12.1089,53.2505,Perleberg - Putlitz,D8PE__1,11.8533,53.0863,380,,,,,,,2520,,,0.97,8.75,146.335,34.21,
Reuter - Mitte 903,11TD8L903------G,50HERTZ,Reuter,D8REU_1,13.2489,52.5316,Mitte,D8MIT_1,13.3689,52.5034,380,,,,,,,800,,,0.27,2.37,769.690,10.69,
Reuter - Charlottenburg 904,11TD8L904------8,50HERTZ,Reuter,D8REU_1,13.2489,52.5316,Charlottenburg,D8CH__1,13.3097,52.5225,380,,,,,,,800,,,0.13,1.27,235.619,5.27,
Charlottenburg - Mitte 906,11TD8L906------T,50HERTZ,Charlottenburg,D8CH__1,13.3097,52.5225,Mitte,D8MIT_1,13.3689,52.5034,380,,,,,,,800,,,0.12,1.23,475.072,5.42,
Teufelsbruch - Reuter 907,11TD8L907------L,50HERTZ,Teufelsbruch,D8TB__1,13.2116,52.5808,Reuter,D8REU_1,13.2489,52.5316,380,,,,,,,1620,,,0.15,1.69,690.208,7.55,
Teufelsbruch - Reuter 908,11TD8L908------D,50HERTZ,Teufelsbruch,D8TB__1,13.2116,52.5808,Reuter,D8REU_1,13.2489,52.5316,380,,,,,,,1620,,,0.15,1.69,690.208,7.55,
Friedrichshain - Mitte 919,11TD8L919------X,50HERTZ,Friedrichshain,D8FRH_1,13.4561,52.5215,Mitte,D8MIT_1,13.3689,52.5034,380,,,,,,,1660,,,0.13,1.51,368.320,6.55,
Friedrichshain - Mitte 920,11TD8L920------M,50HERTZ,Friedrichshain,D8FRH_1,13.4561,52.5215,Mitte,D8MIT_1,13.3689,52.5034,380,,,,,,,1660,,,0.13,1.52,376.551,6.55,
Friedrichshain - Marzahn 921,11TD8L921------E,50HERTZ,Friedrichshain,D8FRH_1,13.4561,52.5215,Marzahn,D8MZA_1,13.5242,52.5356,380,,,,,,,1660,,,0.11,1.23,300.839,5.38,
Friedrichshain - Marzahn 922,11TD8L922------6,50HERTZ,Friedrichshain,D8FRH_1,13.4561,52.5215,Marzahn,D8MZA_1,13.5242,52.5356,380,,,,,,,1660,,,0.11,1.21,321.008,5.35,
Hamburg/Nord - Brunsbüttel 951,11TD8L951------O,50HERTZ,Hamburg/Nord,D8NOR_1,9.9841,53.7421,Brunsbüttel,D8BRUH1,9.20263,53.8958,380,,,,,,,3600,,,1.07,13.95,283.937,57.10,
Hamburg/Nord - Brunsbüttel 952,11TD8L952------G,50HERTZ,Hamburg/Nord,D8NOR_1,9.9841,53.7421,Brunsbüttel,D8BRUH1,9.20263,53.8958,380,,,,,,,3600,,,1.07,13.95,283.937,57.10,
Hamburg/Ost - Hamburg/Nord 961,11TD8L961------F,50HERTZ,Hamburg/Ost,D8OST_1,10.1598,53.555,Hamburg/Nord,D8NOR_1,9.9841,53.7421,380,,,,,,,2580,2520,3300,1.05,7.88,139.204,31.00,
Hamburg/Ost - Hamburg/Nord 962,11TD8L962------7,50HERTZ,Hamburg/Ost,D8OST_1,10.1598,53.555,Hamburg/Nord,D8NOR_1,9.9841,53.7421,380,,,,,,,2580,2520,3300,1.05,7.88,139.204,31.00,
Hamburg/Süd - Hamburg/Ost 971,11TD8L971------6,50HERTZ,Hamburg/Süd,D8SUE_1,9.9099,53.4884,Hamburg/Ost,D8OST_1,10.1598,53.555,380,,,,,,,2580,,,0.99,7.44,131.978,29.43,
Hamburg/Ost - Krümmel 991,11TD8L991------P,50HERTZ,Hamburg/Ost,D8OST_1,10.1598,53.555,Krümmel,D8KRU_1,10.4136,53.4134,380,,,,,,,3600,,,0.59,6.78,141.717,28.39,
Hamburg/Ost - Krümmel 992,11TD8L992------H,50HERTZ,Hamburg/Ost,D8OST_1,10.1598,53.555,Krümmel,D8KRU_1,10.4136,53.4134,380,,,,,,,3600,,,0.59,6.78,141.717,28.39,
Ragow - Förderstedt 532,11TD8L532------0,50HERTZ,Ragow,D8RAG_1,13.9057,51.876,Förderstedt,D8FOE_1,11.6442,51.9085,380,,,,,,,2520,,,4.99,46.70,765.606,179.43,
Altdöbern - Streumen 563,11T0-0000-0949-E,50HERTZ,Altdöbern,D8ADB_1,14,51.64,Streumen,D8STR_1,13.3823,51.3567,380,,,,,,,2500,,,1.75,18.85,312.274,70.53,
Hamburg/Süd - Hamburg/Ost 972,11TD8L972------Z,50HERTZ,Hamburg/Süd,D8SUE_1,9.9099,53.4884,Hamburg/Ost,D8OST_1,10.1598,53.555,380,,,,,,,2580,,,0.99,7.44,131.978,29.43,
Putlitz/Süd - Stendal/West 515,11TD8L515------V,50HERTZ,Putlitz/Süd,D8PZS_1,12.1089,53.2505,Stendal/West,D8STW_1,11.72678,52.5689,380,,,,,,,2520,,,2.06,22.30,369.106,86.65,
