Status: 15.11.2023,,,Substation_1,,Longitude_Substation_1,Latitude_Substation_1,Substation_2,,Longitude_Substation_2,Latitude_Substation_2,,Maximum Current Imax (A),,,,,,,Dynamic line rating (DLR),,Electrical Parameters,,,,
NE_name,EIC_Code,TSO,Full_name,Short_name,,,Full_name,Short_name,,,Voltage_level(kV),Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Fixed,DLRmin(A),DLRmax(A),Resistance_R(Ω),Reactance_X(Ω),Susceptance_B(μS),Length_(km),Comment
Lauchstädt - Vieselbach 472,11TD8L472------B,50HERTZ,Lauchstädt,D8LAU_1,11.891,51.4054,Vieselbach,D8VIB_1,11.1241,51.0003,380,,,,,,,3600,,,1.43,19.66,361.597,78.07,
Lubmin - Altentreptow/Nord 475,11TD8L475------O,50HERTZ,Lubmin,D8LUB_1,13.6821,54.1394,Altentreptow/Nord,D8ATN_1,13.3178,53.7367,380,,,,,,,2520,,,1.42,13.75,219.566,52.12,
Lubmin - Altentreptow/Süd 476,11T0-0000-0007-7,50HERTZ,Lubmin,D8LUB_1,13.6821,54.1394,Altentreptow/Süd,D8ATS_1,13.1786,53.6242,380,,,,,,,2520,,,1.62,17.83,290.283,68.80,
Altentreptow/Nord - Altentreptow/Süd 477,11T0-0000-0008-4,50HERTZ,Altentreptow/Nord,D8ATN_1,13.3178,53.7367,Altentreptow/Süd,D8ATS_1,13.1786,53.6242,380,,,,,,,2520,,,0.40,4.34,70.780,16.77,
Altentreptow/Süd - Gransee 479,11T0-0000-0009-1,50HERTZ,Altentreptow/Süd,D8ATS_1,13.1786,53.6242,Gransee,D8GSE_1,13.2633,52.9943,380,,,,,,,2520,,,1.81,19.94,325.249,77.01,
Stendal/West - Wolmirstedt 487,11T0-0000-0979-2,50HERTZ,Stendal/West,D8STW_1,11.72678,52.5689,Wolmirstedt,D8WOL_1,11.639,52.2693,380,,,,,,,3600,,,0.58,9.29,172.473,37.25,
Stendal/West - Wolmirstedt 488,11T0-0000-0980-P,50HERTZ,Stendal/West,D8STW_1,11.72678,52.5689,Wolmirstedt,D8WOL_1,11.639,52.2693,380,,,,,,,3600,,,0.58,9.29,172.473,37.25,
Stendal/West - Wolmirstedt 489,11TD8L489------K,50HERTZ,Stendal/West,D8STW_1,11.72678,52.5689,Wolmirstedt,D8WOL_1,11.639,52.2693,380,,,,,,,2520,,,1.18,9.63,160.818,37.25,
Stendal/West - Wolmirstedt 490,11TD8L490------9,50HERTZ,Stendal/West,D8STW_1,11.72678,52.5689,Wolmirstedt,D8WOL_1,11.639,52.2693,380,,,,,,,2520,,,1.18,9.63,160.818,37.25,
Wolmirstedt - Teufelsbruch 493,11TD8L493------M,50HERTZ,Wolmirstedt,D8WOL_1,11.639,52.2693,Teufelsbruch,D8TB__1,13.2116,52.5808,380,,,,,,,2400,,,3.67,33.20,518.677,124.40,
Wolmirstedt - Wustermark 494,11TD8L494------E,50HERTZ,Wolmirstedt,D8WOL_1,11.639,52.2693,Wustermark,D8WU__1,12.9419,52.5609,380,,,,,,,2500,,,3.18,27.94,434.419,104.10,
Neuenhagen - Marzahn 495,11TD8L495------6,50HERTZ,Neuenhagen,D8NHG_1,13.7047,52.5384,Marzahn,D8MZA_1,13.5242,52.5356,380,,,,,,,2280,,,0.76,4.31,71.942,16.94,
Neuenhagen - Marzahn 496,11TD8L496------Z,50HERTZ,Neuenhagen,D8NHG_1,13.7047,52.5384,Marzahn,D8MZA_1,13.5242,52.5356,380,,,,,,,2400,,,0.76,4.31,71.942,16.94,
Wustermark - Teufelsbruch 498,11TD8L498------J,50HERTZ,Wustermark,D8WU__1,12.9419,52.5609,Teufelsbruch,D8TB__1,13.2116,52.5808,380,,,,,,,2400,,,0.72,7.74,129.811,29.60,
Jessen/Nord - Lauchstädt 499,11TD8L499------B,50HERTZ,Jessen/Nord,D8JSN_1,13.0584,51.8,Lauchstädt,D8LAU_1,11.891,51.4054,380,,,,,,,2040,,,3.34,25.42,464.579,102.16,
Jessen/Nord - Marke 500,11TD8L500------6,50HERTZ,Jessen/Nord,D8JSN_1,13.0584,51.8,Marke,D8MA__1,12.2632,51.7401,380,,,,,,,2040,,,3.45,26.89,490.591,107.37,
Ragow - Schönewalde 501,11T0-0000-0040-C,50HERTZ,Ragow,D8RAG_1,13.9057,51.876,Schönewalde,D8SW__1,13.157,51.8288,380,,,,,,,2040,,,1.70,13.44,246.772,54.00,
Ragow - Jessen/Nord 502,11TD8L502-----1N,50HERTZ,Ragow,D8RAG_1,13.9057,51.876,Jessen/Nord,D8JSN_1,13.0584,51.8,380,,,,,,,2040,,,1.95,15.45,290.280,61.78,
Schönewalde - Jessen/Nord 503,11TD8L503-----1F,50HERTZ,Schönewalde,D8SW__1,13.157,51.8288,Jessen/Nord,D8JSN_1,13.0584,51.8,380,,,,,,,2040,,,0.25,2.06,36.285,7.95,
Marke - Lauchstädt 504,11TD8L504------B,50HERTZ,Marke,D8MA__1,12.2632,51.7401,Lauchstädt,D8LAU_1,11.891,51.4054,380,,,,,,,2040,,,2.10,12.73,230.153,50.87,
Lubmin - Siedenbrünzow 509,11TD8L509------8,50HERTZ,Lubmin,D8LUB_1,13.6821,54.1394,Siedenbrünzow,D8SOW_1,13.1434,53.9079,380,,,,,,,2520,,,1.59,14.44,243.128,56.21,
Lubmin - Siedenbrünzow 510,11TD8L510------Y,50HERTZ,Lubmin,D8LUB_1,13.6821,54.1394,Siedenbrünzow,D8SOW_1,13.1434,53.9079,380,,,,,,,2520,,,1.59,14.44,243.128,56.21,
Siedenbrünzow - Güstrow 512,11TD8L512-----1E,50HERTZ,Siedenbrünzow,D8SOW_1,13.1434,53.9079,Güstrow,D8GUE_1,12.186,53.816,380,,,,,,,2500,,,3.37,25.05,386.919,93.61,
Siedenbrünzow - Putlitz/Süd 513,11TD8L513-----16,50HERTZ,Siedenbrünzow,D8SOW_1,13.1434,53.9079,Putlitz/Süd,D8PZS_1,12.1089,53.2505,380,,,,,,,2500,,,2.59,28.07,464.579,109.10,
Güstrow - Putlitz/Süd 514,11TD8L514-----1Z,50HERTZ,Güstrow,D8GUE_1,12.186,53.816,Putlitz/Süd,D8PZS_1,12.1089,53.2505,380,,,,,,,2520,,,2.88,26.43,422.230,100.30,
Perleberg - Stendal/West 516,11TD8L516------N,50HERTZ,Perleberg,D8PE__1,11.8533,53.0863,Stendal/West,D8STW_1,11.72678,52.5689,380,,,,,,,2520,,,2.45,19.38,324.778,75.54,
Gransee - Neuenhagen 517,11TD8L517-----1B,50HERTZ,Gransee,D8GSE_1,13.2633,52.9943,Neuenhagen,D8NHG_1,13.7047,52.5384,380,,,,,,,2040,,,1.66,18.23,296.409,70.32,
Altentreptow/Süd - Malchow 518,11T0-0000-0010-O,50HERTZ,Altentreptow/Süd,D8ATS_1,13.1786,53.6242,Malchow,D8MOW_1,13.4948,52.5915,380,,,,,,,2040,,,3.09,33.95,553.234,131.26,
Neuenhagen - Malchow 520,11TD8L520------P,50HERTZ,Neuenhagen,D8NHG_1,13.7047,52.5384,Malchow,D8MOW_1,13.4948,52.5915,380,,,,,,,2040,,,0.57,6.21,101.128,23.99,
Wustermark - Ragow 521-525,11TD8L521-525--G,50HERTZ,Wustermark,D8WU__1,12.9419,52.5609,Ragow,D8RAG_1,13.9057,51.876,380,,,,,,,2504,,,4.00,32.63,585.436,130.74,
Thyrow - Ragow 522,11TD8L522------9,50HERTZ,Thyrow,D8THY_1,13.3049,52.2309,Ragow,D8RAG_1,13.9057,51.876,380,,,,,,,2504,,,1.95,15.38,277.968,61.80,
Ragow - Jessen/Nord 531,11T0-0000-0041-9,50HERTZ,Ragow,D8RAG_1,13.9057,51.876,Jessen/Nord,D8JSN_1,13.0584,51.8,380,,,,,,,2520,,,1.83,17.11,290.974,65.74,
